Record_ID,Year,Country,Region,Income_Level,Depression_Rate_Pct,Anxiety_Rate_Pct,Bipolar_Disorder_Rate_Pct,Schizophrenia_Rate_Pct,PTSD_Rate_Pct,Eating_Disorder_Rate_Pct,Substance_Use_Disorder_Pct,Suicide_Rate_Per_100k,Treatment_Gap_Pct,Healthcare_Access_Index,Psychiatrists_Per_100k,Govt_MentalHealth_Spending_PctGDP,Avg_Daily_Screen_Time_Hours,Unemployment_Rate_Pct,Urbanization_Rate_Pct,Social_Support_Index,Stigma_Index,Mental_Health_Crisis_Index,Crisis_Level
GMHCI-0061,2021,Pakistan,Asia,Lower-Middle,8.11,8.15,3.05,0.333,1.22,3.14,9.34,5.37,76.6,25.7,0.35,1.59,9.9,22.2,26.9,38.0,69.4,48.27,Moderate
GMHCI-0062,2021,Philippines,Asia,Lower-Middle,4.72,12.23,2.38,0.575,6.84,1.38,4.15,10.83,79.1,36.0,0.49,1.16,9.0,22.1,27.3,83.0,66.9,54.86,High
GMHCI-0063,2023,Indonesia,Asia,Lower-Middle,8.53,7.79,1.0,0.673,4.34,3.53,2.26,3.78,70.8,34.1,1.7,0.92,4.7,17.4,43.4,93.2,74.0,46.12,Moderate
GMHCI-0064,2017,Colombia,South America,Upper-Middle,10.26,16.98,0.52,1.059,5.11,2.25,7.75,10.5,60.2,50.1,4.95,4.85,10.5,12.8,42.8,33.6,47.7,60.64,High
GMHCI-0065,2020,Mexico,North America,Upper-Middle,12.25,9.5,2.55,1.005,7.24,3.55,5.29,13.16,52.7,56.9,5.0,4.41,9.3,8.7,84.1,38.0,48.9,59.33,High
GMHCI-0066,2022,Vietnam,Asia,Lower-Middle,10.75,6.16,1.73,1.075,7.71,3.86,2.29,4.09,77.2,29.0,1.87,2.42,5.3,16.8,88.8,27.9,67.2,48.11,Moderate
GMHCI-0067,2019,Norway,Europe,High,8.53,13.73,1.52,0.851,3.61,1.4,4.92,10.66,51.5,83.6,16.49,11.71,5.4,8.4,31.1,41.7,7.4,48.13,Moderate
GMHCI-0068,2019,Norway,Europe,High,11.66,14.49,2.14,1.145,8.95,3.71,1.99,9.62,51.0,92.4,13.52,9.68,10.2,18.9,78.6,61.4,14.2,52.66,High
GMHCI-0069,2020,United Kingdom,Europe,High,17.52,16.27,0.9,0.349,5.81,0.95,2.06,4.3,26.1,84.1,21.82,9.86,5.8,6.0,87.2,36.0,9.4,50.5,High
GMHCI-0070,2018,Sweden,Europe,High,15.32,13.61,0.99,1.145,2.48,2.52,8.25,8.04,41.6,72.6,18.25,11.34,10.1,11.9,96.0,58.6,37.1,56.75,High
GMHCI-0071,2019,Philippines,Asia,Lower-Middle,10.62,9.15,0.9,0.29,5.43,2.18,7.83,9.19,71.3,41.9,0.42,2.05,9.5,22.2,67.4,33.0,51.7,54.5,High
GMHCI-0072,2016,Turkey,Asia,Upper-Middle,8.45,13.16,2.28,0.995,7.74,1.31,4.31,11.47,54.3,67.7,9.33,3.93,5.4,12.2,73.9,70.0,32.9,52.88,High
GMHCI-0073,2021,Turkey,Asia,Upper-Middle,9.12,13.81,3.3,1.15,7.12,1.46,1.69,8.35,67.1,68.1,4.31,5.61,3.9,24.2,31.3,92.4,35.6,52.43,High
GMHCI-0074,2016,Ukraine,Europe,Lower-Middle,9.74,9.78,2.99,0.28,5.97,2.41,5.45,7.99,79.4,47.5,0.15,2.42,10.6,13.5,35.9,68.3,55.5,53.99,High
GMHCI-0075,2019,Kenya,Africa,Lower-Middle,4.97,5.2,2.88,0.779,3.14,3.81,3.22,5.59,84.3,48.4,1.72,0.82,6.8,9.2,43.9,87.8,58.8,41.12,Moderate
GMHCI-0076,2022,South Korea,Asia,High,13.52,11.8,1.85,0.797,1.6,3.55,6.24,7.6,27.3,92.7,9.61,11.44,7.2,12.5,85.2,81.0,16.7,46.74,Moderate
GMHCI-0077,2017,Egypt,Africa,Lower-Middle,4.74,11.36,3.26,0.5,6.76,2.83,4.82,8.23,71.1,23.8,1.3,1.87,7.7,12.0,42.2,87.3,85.7,52.08,High
GMHCI-0078,2021,Ukraine,Europe,Lower-Middle,9.89,12.34,2.58,0.94,3.78,1.87,6.05,8.76,84.9,36.8,0.25,2.12,6.1,20.3,73.9,92.0,59.9,59.1,High
GMHCI-0079,2021,China,Asia,Upper-Middle,10.71,10.22,0.79,0.458,5.8,3.44,7.01,17.28,69.4,60.2,2.81,2.3,4.5,12.8,78.5,80.3,32.8,63.71,High
GMHCI-0080,2019,Spain,Europe,High,11.23,17.58,1.32,0.775,5.67,3.4,7.4,10.05,29.4,76.8,9.38,9.92,8.9,5.3,79.3,66.0,16.1,52.45,High
GMHCI-0081,2024,Philippines,Asia,Lower-Middle,10.96,5.18,1.06,1.118,7.72,1.75,4.16,3.26,78.1,27.0,1.3,1.01,7.0,8.5,28.5,75.9,73.7,47.47,Moderate
GMHCI-0082,2018,Turkey,Asia,Upper-Middle,12.27,8.43,1.13,0.976,8.67,0.7,6.77,5.5,50.4,59.0,5.98,5.42,8.2,20.4,46.1,23.9,46.1,46.97,Moderate
GMHCI-0083,2020,Philippines,Asia,Lower-Middle,9.34,11.7,2.5,0.409,8.82,1.55,9.93,5.02,75.5,25.1,1.1,0.65,3.0,26.9,28.5,86.9,74.1,53.25,High
GMHCI-0084,2020,Netherlands,Europe,High,16.03,21.15,2.15,0.293,6.45,2.03,2.69,13.11,39.6,82.6,22.41,11.79,10.1,10.7,73.7,28.3,26.6,69.75,High
GMHCI-0085,2020,United States,North America,High,15.46,12.79,1.81,0.954,6.55,3.37,4.18,10.42,38.3,87.9,24.96,11.34,4.4,19.5,55.0,59.1,2.9,53.87,High
GMHCI-0086,2018,China,Asia,Upper-Middle,6.1,8.09,2.51,0.772,6.66,2.87,8.36,16.67,63.0,64.1,7.73,5.69,6.8,5.6,79.9,48.2,35.7,53.98,High
GMHCI-0087,2019,Spain,Europe,High,15.3,18.3,3.1,0.427,5.18,3.19,5.76,10.88,37.4,95.8,17.64,9.9,10.9,20.4,66.4,43.7,0.1,58.74,High
GMHCI-0088,2018,Thailand,Asia,Upper-Middle,11.85,14.24,2.35,0.924,1.76,3.1,7.32,13.9,50.5,53.0,9.35,5.67,8.0,19.7,88.1,33.8,43.8,63.01,High
GMHCI-0089,2020,Thailand,Asia,Upper-Middle,9.8,11.11,1.08,0.873,2.79,1.11,7.9,16.91,73.1,72.0,6.25,2.55,10.6,17.8,26.0,64.1,31.5,63.11,High
GMHCI-0090,2015,Vietnam,Asia,Lower-Middle,4.93,11.65,2.01,0.695,2.3,1.95,11.45,4.62,85.6,49.8,0.17,1.53,10.0,9.6,40.2,95.0,50.8,44.58,Moderate
GMHCI-0091,2023,Germany,Europe,High,16.41,17.99,1.34,0.999,2.1,2.84,7.93,14.87,40.2,85.9,23.11,4.98,10.7,9.5,83.2,89.4,14.6,68.14,High
GMHCI-0092,2018,Egypt,Africa,Lower-Middle,6.1,11.97,1.84,0.728,4.83,3.22,5.0,5.31,82.8,28.6,1.37,0.55,3.7,2.9,87.7,93.1,69.2,49.78,Moderate
GMHCI-0093,2023,United States,North America,High,13.59,21.08,0.73,0.754,4.61,1.58,2.01,4.86,36.4,79.0,22.37,6.33,5.5,5.4,40.4,60.8,14.0,52.46,High
GMHCI-0094,2017,Japan,Asia,High,11.32,18.41,0.58,0.878,6.37,2.83,6.74,11.78,30.3,93.8,18.54,7.87,3.4,7.5,60.9,74.3,6.7,54.46,High
GMHCI-0095,2022,Kenya,Africa,Lower-Middle,7.12,13.34,1.5,0.866,6.46,2.68,8.2,8.93,80.4,34.7,0.23,1.39,5.7,23.0,64.9,41.5,70.0,57.23,High
GMHCI-0096,2019,Sweden,Europe,High,12.74,16.27,1.7,0.242,8.51,0.85,2.96,7.95,26.8,80.2,18.94,6.38,3.6,25.2,37.7,60.7,18.1,50.34,High
GMHCI-0097,2022,Thailand,Asia,Upper-Middle,12.86,17.92,1.96,1.11,2.17,0.86,11.12,17.04,67.6,61.7,2.42,4.62,7.8,17.9,55.0,20.7,35.0,73.42,High
GMHCI-0098,2023,Ghana,Africa,Lower-Middle,4.49,7.44,2.16,0.57,5.81,2.61,2.37,10.99,83.9,34.9,0.46,1.04,8.4,14.6,75.6,31.9,66.1,51.02,High
GMHCI-0099,2019,New Zealand,Oceania,High,8.0,19.56,1.35,1.171,3.19,3.75,6.95,10.81,26.9,78.5,14.93,6.69,4.4,4.5,93.0,68.7,12.4,49.88,Moderate
GMHCI-0100,2015,Netherlands,Europe,High,10.88,12.98,2.79,0.322,1.43,2.2,8.32,14.8,48.5,70.6,8.07,6.0,7.5,4.1,40.0,72.5,22.6,58.28,High
GMHCI-0101,2019,United Kingdom,Europe,High,8.64,15.66,2.09,0.348,5.59,3.16,1.61,11.98,34.3,77.3,16.7,7.91,8.4,25.5,93.0,49.2,28.0,52.33,High
GMHCI-0102,2024,Argentina,South America,Upper-Middle,14.24,11.19,1.1,1.176,1.42,1.23,11.57,17.79,73.0,52.2,6.51,4.05,3.2,6.3,88.1,92.2,43.6,72.37,High
GMHCI-0103,2015,Mexico,North America,Upper-Middle,6.18,8.53,3.08,0.523,2.0,1.22,4.8,13.34,68.5,62.9,9.86,2.9,4.3,18.5,46.7,35.2,37.3,50.95,High
GMHCI-0104,2019,Thailand,Asia,Upper-Middle,12.38,12.18,2.42,0.777,7.19,0.73,9.51,6.58,66.0,47.3,6.2,2.23,7.2,17.3,49.8,78.7,46.4,54.47,High
GMHCI-0105,2023,Indonesia,Asia,Lower-Middle,6.07,11.83,1.76,0.399,2.24,3.45,4.93,6.64,87.0,33.7,0.7,1.14,6.5,24.2,76.2,89.4,66.4,51.68,High
GMHCI-0106,2024,Australia,Oceania,High,15.72,10.14,2.33,0.777,2.69,3.39,11.13,9.91,34.8,89.3,11.48,6.44,3.2,7.4,69.8,20.6,6.0,51.04,High
GMHCI-0107,2018,China,Asia,Upper-Middle,11.54,13.39,1.24,0.208,3.04,2.8,5.06,5.01,59.6,67.1,9.07,5.93,8.3,26.0,71.3,28.4,35.3,49.58,Moderate
GMHCI-0108,2021,United Kingdom,Europe,High,11.51,11.58,2.06,0.449,1.82,2.54,2.55,13.89,51.4,76.0,17.1,6.66,6.7,11.7,89.7,46.4,19.3,56.57,High
GMHCI-0109,2017,Vietnam,Asia,Lower-Middle,8.77,5.15,2.54,0.903,4.32,1.94,8.69,10.69,71.0,47.0,1.1,1.51,6.9,18.3,50.9,62.2,59.7,51.53,High
GMHCI-0110,2022,Ukraine,Europe,Lower-Middle,7.28,8.49,2.72,0.677,8.59,1.63,9.49,5.39,80.3,46.7,0.15,1.37,8.3,14.7,31.4,66.0,49.0,44.96,Moderate
GMHCI-0111,2017,Pakistan,Asia,Lower-Middle,10.46,5.89,0.63,0.462,5.31,3.77,9.46,6.98,78.1,39.5,0.18,1.78,7.9,22.3,29.8,38.3,66.9,51.57,High
GMHCI-0112,2022,France,Europe,High,14.75,14.54,2.06,0.776,6.62,0.7,7.51,11.53,26.9,78.1,19.98,6.95,10.2,2.0,26.3,94.6,19.5,56.76,High
GMHCI-0113,2021,Philippines,Asia,Lower-Middle,8.31,8.22,3.5,0.616,6.02,1.58,6.4,10.74,78.3,29.9,1.58,1.26,7.0,12.4,53.9,65.2,78.3,57.66,High
GMHCI-0114,2017,Ghana,Africa,Lower-Middle,7.48,7.26,1.5,1.019,2.43,1.69,10.51,3.28,87.2,26.4,0.84,1.22,4.2,21.2,54.6,25.8,72.4,45.75,Moderate
GMHCI-0115,2019,Indonesia,Asia,Lower-Middle,11.53,7.26,2.37,0.686,3.29,1.68,6.16,7.81,85.9,26.0,1.72,2.31,6.8,21.3,54.9,77.1,71.0,57.26,High
GMHCI-0116,2019,Sweden,Europe,High,16.97,13.61,3.43,0.856,4.93,0.63,6.65,9.4,48.7,93.5,8.76,10.18,10.0,5.9,93.6,49.3,7.4,57.56,High
GMHCI-0117,2024,Saudi Arabia,Asia,High,11.03,10.5,2.54,0.609,6.69,1.87,7.71,12.98,27.6,87.7,9.12,11.03,3.9,2.5,41.0,89.6,4.2,47.75,Moderate
GMHCI-0118,2017,Philippines,Asia,Lower-Middle,10.49,11.34,3.07,0.405,3.23,3.69,3.25,4.83,78.5,39.1,1.98,1.2,6.4,19.7,91.2,54.0,54.3,51.75,High
GMHCI-0119,2024,Nigeria,Africa,Lower-Middle,9.4,10.73,1.34,0.694,2.75,3.79,8.95,8.34,83.4,35.3,1.8,2.02,6.6,3.2,69.9,67.1,61.3,56.35,High
GMHCI-0120,2017,Nigeria,Africa,Lower-Middle,10.96,11.36,1.09,0.61,7.52,3.89,8.68,10.4,76.2,38.8,1.37,0.82,10.0,16.7,51.9,85.9,54.5,59.83,High
GMHCI-0121,2023,Argentina,South America,Upper-Middle,9.31,17.26,3.02,0.912,6.11,3.31,4.04,15.83,62.3,61.1,2.28,4.76,10.1,18.8,45.3,69.5,42.3,66.49,High
GMHCI-0122,2022,Russia,Europe,Upper-Middle,9.11,16.39,1.95,0.803,8.88,1.33,7.76,16.18,73.3,59.1,3.29,5.32,9.8,23.0,65.5,84.3,37.0,66.79,High
GMHCI-0123,2015,South Africa,Africa,Upper-Middle,10.35,15.85,2.34,0.585,3.48,3.38,11.52,10.06,54.2,50.2,8.83,3.03,8.6,26.4,34.0,52.7,59.3,59.95,High
GMHCI-0124,2020,Germany,Europe,High,8.76,18.03,1.19,0.869,3.52,2.31,10.46,5.18,41.2,97.1,12.07,8.82,3.2,27.5,28.5,88.5,0.0,42.06,Moderate
GMHCI-0125,2016,Ethiopia,Africa,Low,4.28,7.86,1.52,0.625,2.17,0.66,3.97,4.45,95.3,18.5,0.33,0.61,10.9,19.5,69.8,47.1,82.6,46.25,Moderate
GMHCI-0126,2015,Pakistan,Asia,Lower-Middle,9.17,6.13,2.91,0.507,8.95,0.57,3.19,11.08,80.3,20.3,0.52,1.38,4.4,2.6,41.9,62.8,73.8,57.06,High
GMHCI-0127,2023,Tanzania,Africa,Low,5.59,7.09,1.33,0.722,1.65,2.03,11.97,4.8,97.9,5.8,0.29,0.23,5.8,8.7,62.3,83.9,98.5,50.64,High
GMHCI-0128,2015,India,Asia,Lower-Middle,7.59,5.85,3.37,0.506,7.09,1.44,6.1,7.67,72.7,47.1,1.87,1.07,5.4,21.5,27.2,72.5,46.4,44.6,Moderate
GMHCI-0129,2020,Australia,Oceania,High,14.5,18.19,3.26,1.104,5.97,3.23,3.74,13.25,39.1,71.1,13.88,5.68,4.5,8.4,25.1,79.8,24.9,64.8,High
GMHCI-0130,2019,Thailand,Asia,Upper-Middle,10.51,9.62,2.67,1.028,1.13,3.73,11.83,17.48,59.8,56.9,6.64,3.53,6.9,6.3,76.8,47.1,43.4,63.28,High
GMHCI-0131,2017,Spain,Europe,High,13.21,20.06,3.45,0.903,8.19,2.53,4.0,5.37,34.4,83.5,14.86,5.83,8.1,20.8,71.5,76.2,7.1,50.37,High
GMHCI-0132,2015,Australia,Oceania,High,17.21,10.37,2.39,1.087,1.75,2.97,3.05,7.14,33.5,88.8,13.74,7.54,8.3,8.9,56.6,30.1,10.0,49.87,Moderate
